id	cdempresa	dsempresa	cdempresasimop	dsdescontarintervalo	dssiglasimop	linhaid	cdlinha	dslinha
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	1	001	"PONTE DOS CARVALHOS / PRAZERES (BARRA DE JANGADA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	7	007	"EST. RECIFE / B. VIAGEM (METRÔ)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	10	010	"PIEDADE / SHOPPING CENTER"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	11	011	"PIEDADE / DERBY"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	12	012	"BRASILIA (AGAMENON)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	13	013	"JARDIM BEIRA RIO (PINA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	14	014	"BRASÍLIA (CD. BOA VISTA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	15	015	"TI MILTON DE OLIVEIRA SANTOS - PE-015 (BILHETERIA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	18	018	"BRASÍLIA TEIMOSA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	20	020	"CANDEIAS / TI TANCREDO NEVES"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	21	021	"TI JOANA BEZERRA / SHOPPING RIOMAR"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	23	023	"TI TANCREDO NEVES / TI AEROPORTO"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	24	024	"TI TANCREDO NEVES (CIRCULAR BOA VIAGEM)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	25	025	"TI TIP (BILHETERIA)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	26	026	"TI AEROPORTO / TI JOANA BEZERRA"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	27	027	"LINHA ESPECIAL (ANEL A)"
2	BOA	"BORBOREMA IMPERIAL TRANSPORTES LTDA"	008	S	BB	28	028	"LINHA ESPECIAL (ANEL A)"
